MS,Mh,Man,MMS,T,Cn,Ct,m (kg),Enedc (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW)
NL,OPEL,ADAM OPEL GMBH,ADAM OPEL GMBH,B-K,ASTRA,M1,1263.0,99.0,2660.0,1550.0,1570.0,PETROL,M,999.0,77.0
NL,OPEL,ADAM OPEL GMBH,ADAM OPEL GMBH,B-K,ASTRA,M1,1263.0,102.0,2660.0,1550.0,1570.0,PETROL,M,999.0,77.0
NL,DAIMLER AG,DAIMLER AG,DAIMLER AG,212,E 200 D,M1,1680.0,102.0,2940.0,1610.0,1580.0,DIESEL,M,1950.0,110.0
NL,DAIMLER AG,DAIMLER AG,DAIMLER AG,212,E 200 D,M1,1680.0,112.0,2940.0,1610.0,1580.0,DIESEL,M,1950.0,110.0
NL,DAIMLER AG,DAIMLER AG,DAIMLER AG,245 G,A 200,M1,1370.0,132.0,2700.0,1560.0,1550.0,PETROL,M,1595.0,115.0
NL,DAIMLER AG,DAIMLER AG,DAIMLER AG,245 G,AMG A 45,M1,1555.0,171.0,2700.0,1560.0,1550.0,PETROL,M,1991.0,280.0
NL,DAIMLER AG,DAIMLER AG,MERCEDES-AMG GMBH,245 G AMG,AMG A 45,M1,1555.0,171.0,2700.0,1570.0,1570.0,PETROL,M,1991.0,280.0
NL,DAIMLER AG,DAIMLER AG,DAIMLER AG,245 G,AMG A 45,M1,1555.0,171.0,2700.0,1560.0,1560.0,PETROL,M,1991.0,280.0
NL,DAIMLER AG,DAIMLER AG,DAIMLER AG,204,C 220 D,M1,1550.0,110.0,2840.0,1580.0,1530.0,DIESEL,M,2143.0,125.0
NL,DAIMLER AG,DAIMLER AG,DAIMLER AG,204,C 220 D,M1,1550.0,103.0,2840.0,1590.0,1530.0,DIESEL,M,2143.0,125.0
NL,DAIMLER AG,DAIMLER AG,DAIMLER AG,245 G,A 200,M1,1395.0,124.0,2700.0,1560.0,1550.0,PETROL,M,1595.0,115.0
NL,DAIMLER AG,DAIMLER AG,DAIMLER AG,245 G,AMG A 45,M1,1555.0,162.0,2700.0,1560.0,1550.0,PETROL,M,1991.0,280.0
NL,DAIMLER AG,DAIMLER AG,DAIMLER AG,204,C 220 D,M1,1570.0,112.0,2840.0,1590.0,1530.0,DIESEL,M,2143.0,125.0
NL,DAIMLER AG,DAIMLER AG,DAIMLER AG,204,C 160,M1,1395.0,133.0,2840.0,1580.0,1530.0,PETROL,M,1595.0,95.0
NL,DAIMLER AG,DAIMLER AG,DAIMLER AG,212,E 200 D,M1,1700.0,112.0,2940.0,1610.0,1580.0,DIESEL,M,1950.0,110.0
BE,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW,5K,520d,M1,1810.0,118.0,2968.0,1600.0,1626.0,Diesel,M,1995.0,140.0
BE,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW,5K,520d,M1,1810.0,123.0,2968.0,1600.0,1626.0,Diesel,M,1995.0,120.0
BE,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW,5K,520d,M1,1810.0,123.0,2968.0,1600.0,1626.0,Diesel,M,1995.0,140.0
BE,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW,5K,520d,M1,1810.0,128.0,2968.0,1600.0,1626.0,Diesel,M,1995.0,120.0
BE,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW,5K,520d,M1,1810.0,128.0,2968.0,1600.0,1626.0,Diesel,M,1995.0,140.0
BE,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW,5K,520d,M1,1800.0,122.0,2968.0,1600.0,1626.0,Diesel,M,1995.0,120.0
BE,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW,5K,520d,M1,1800.0,122.0,2968.0,1600.0,1626.0,Diesel,M,1995.0,140.0
BE,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW,5K,520d xDrive,M1,1915.0,127.0,2968.0,1600.0,1626.0,Diesel,M,1995.0,120.0
BE,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW,5K,520d xDrive,M1,1915.0,127.0,2968.0,1600.0,1626.0,Diesel,M,1995.0,140.0
BE,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW,5K,520d xDrive,M1,1915.0,132.0,2968.0,1600.0,1626.0,Diesel,M,1995.0,120.0
BE,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW,5K,520d xDrive,M1,1915.0,132.0,2968.0,1600.0,1626.0,Diesel,M,1995.0,140.0
BE,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW,5K,520d xDrive,M1,1915.0,137.0,2968.0,1600.0,1626.0,Diesel,M,1995.0,140.0
BE,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW,X3,X4 xDrive30d,M1,1895.0,156.0,2810.0,1616.0,1632.0,Diesel,M,2993.0,190.0
BE,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW,X3,X3 xDrive20d,M1,1820.0,136.0,2810.0,1616.0,1632.0,Diesel,M,1995.0,140.0
BE,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW,X3,X3 sDrive18d,M1,1755.0,132.0,2810.0,1616.0,1632.0,Diesel,M,1995.0,110.0
BE,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW,X3,X3 xDrive20d,M1,1820.0,136.0,2810.0,1616.0,1632.0,Diesel,M,1995.0,120.0
BE,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW,X3,X3 xDrive20d,M1,1820.0,139.0,2810.0,1616.0,1632.0,Diesel,M,1995.0,120.0
BE,BMW AG,BAYERISCHE MOTOREN WERKE AG,BMW,X3,X4 xDrive20d,M1,1825.0,136.0,2810.0,1616.0,1632.0,Diesel,M,1995.0,120.0
NL,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,B-K,ASTRA SPORTS TOURER,M1,1393.0,89.0,2660.0,1550.0,1570.0,DIESEL,M,1598.0,81.0
NL,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,S-D,ADAM,M1,1141.0,101.0,2310.0,1470.0,1460.0,PETROL,M,999.0,66.0
NL,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,S-D,ADAM,M1,1120.0,112.0,2310.0,1470.0,1460.0,PETROL,M,1398.0,64.0
NL,OPEL,ADAM OPEL GMBH,ADAM OPEL GMBH,B-K,ASTRA SPORTS TOURER+,M1,1393.0,92.0,2660.0,1550.0,1570.0,DIESEL,M,1598.0,81.0
NL,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,OPEL AUTOMOBILE GMBH,S-D,ADAM,M1,1141.0,108.0,2310.0,1470.0,1460.0,PETROL,M,999.0,85.0
FR,NISSAN,NISSAN INTERNATIONAL SA,NISSAN INTERNATIONAL SA,H15,Q30,M1,1590.0,127.0,2700.0,1556.0,1556.0,Diesel,M,2143.0,125.0
FR,NISSAN,NISSAN INTERNATIONAL SA,NISSAN INTERNATIONAL SA,H15,Q30,M1,1465.0,134.0,2700.0,1556.0,1556.0,Petrol,M,1595.0,115.0
FR,NISSAN,NISSAN INTERNATIONAL SA,NISSAN INTERNATIONAL SA,H15,Q30,M1,1435.0,138.0,2700.0,1556.0,1556.0,Petrol,M,1595.0,90.0
FR,NISSAN,NISSAN INTERNATIONAL SA,NISSAN INTERNATIONAL SA,H15,Q30S,M1,1465.0,136.0,2700.0,1563.0,1563.0,Petrol,M,1595.0,115.0
FR,NISSAN,NISSAN INTERNATIONAL SA,NISSAN INTERNATIONAL SA,H15,Q30,M1,1465.0,136.0,2700.0,1556.0,1556.0,Petrol,M,1595.0,115.0
NL,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,P,C1,M1,956.0,88.0,2340.0,1430.0,1420.0,LPG,B,998.0,51.0
NL,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,S,C3,M1,1125.0,103.0,2540.0,1480.0,1480.0,PETROL,M,1199.0,81.0
NL,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,AUTOMOBILES CITRO?N,3,C4 PICASSO,M1,1373.0,115.0,2790.0,1590.0,1590.0,PETROL,M,1199.0,96.0
